Contrato;Conv;Taxa Originação;Taxa Cessão
3002282899;MA;1.9;1.9
3002254757;MA;1.9;1.9
3002250599;MA;1.9;1.9
3002209736;MA;1.95;1.95
3002261232;MA;1.9;1.9
3002244188;MA;1.9;1.9
3002250086;MA;1.9;1.9
3002271066;MA;1.9;1.9
3002294167;MA;1.9;1.9
3002290561;MA;1.9;1.9
3002214553;MA;1.95;1.95
3002243370;MA;1.9;1.9
3002261521;MA;1.95;1.95
3002249773;MA;1.9;1.9
3002254005;MA;1.9;1.9
3002266397;MA;1.95;1.95
3002148462;MA;1.95;1.95
3002148470;MA;1.95;1.95
3002271777;MA;1.9;1.9
3002256133;MA;1.9;1.9
3002252587;MA;1.9;1.9
3002020737;MA;1.95;1.95
3002243180;MA;1.9;1.9
3002240509;MA;1.95;1.95
3002304511;MA;1.95;1.95
3002317919;MA;1.9;1.9
3002308108;MA;1.95;1.95
3002248858;MA;1.9;1.9
3002289076;MA;1.9;1.9
3002295362;MA;1.95;1.95
3002311052;MA;1.9;1.9
3002275133;MA;1.9;1.9
3002312183;MA;1.9;1.9
3002250045;MA;1.9;1.9
3002275893;MA;1.9;1.9
3002246001;MA;1.95;1.95
3002249179;MA;1.9;1.9
3002290256;MA;1.9;1.9
3002248627;MA;1.9;1.9
3002260499;MA;1.95;1.95
3002275018;MA;1.9;1.9
3002250227;MA;1.9;1.9
3002199838;MA;1.95;1.95
3002250219;MA;1.9;1.9
3002250003;MA;1.9;1.9
3002304164;MA;1.9;1.9
3002238792;MA;1.95;1.95
3002250573;MA;1.9;1.9
3002248841;MA;1.9;1.9
3002280638;MA;1.9;1.9
3002304503;MA;1.9;1.9
3002252306;MA;1.9;1.9
3002304131;MA;1.9;1.9
3002304057;MA;1.9;1.9
3002250797;MA;1.9;1.9
3002255150;MA;1.95;1.95
3002249120;MA;1.9;1.9
3002277295;MA;1.9;1.9
3002285322;MA;1.9;1.9
3002275190;MA;1.9;1.9
3002283145;MA;1.95;1.95
3002252066;MA;1.95;1.95
3002291361;MA;1.95;1.95
3002268500;MA;1.9;1.9
3002143992;MA;1.95;1.95
3002305450;MA;1.9;1.9
3002263287;MA;1.9;1.9
3002241358;MA;1.95;1.95
3002282741;MA;1.9;1.9
3002250730;MA;1.9;1.9
3002250771;MA;1.9;1.9
3002301939;MA;1.95;1.95
3002232241;MA;1.9;1.9
3002273526;MA;1.95;1.95
3002249591;MA;1.9;1.9
3002136830;MA;1.95;1.95
3002206195;MA;1.95;1.95
3002249823;MA;1.9;1.9
3002248809;MA;1.9;1.9
3002243248;MA;1.9;1.9
3002304321;MA;1.95;1.95
3002270969;MA;1.9;1.9
3002131674;MA;1.95;1.95
3002312241;MA;1.9;1.9
3002248585;MA;1.9;1.9
3002051146;MA;1.95;1.95
3002235426;MA;1.95;1.95
3002276107;MA;1.9;1.9
3002209298;MA;1.95;1.95
3002232373;MA;1.9;1.9
3002229049;MA;1.95;1.95
3002290546;MA;1.9;1.9
3002252694;MA;1.9;1.9
3002250144;MA;1.9;1.9
3002284549;MA;1.9;1.9
3002275026;MA;1.95;1.95
3002295586;MT;1.95;1.95
3002301491;MT;1.95;1.95
3002312977;MT;1.95;1.95
3002319501;MT;1.95;1.95
3002325482;MT;1.95;1.95
3002327330;MT;1.95;1.95
3002327769;MA;1.95;1.95
3002327785;MT;1.95;1.95
3002328569;MT;1.95;1.95
3002330698;MA;1.95;1.95
3002331324;MT;1.95;1.95
3002331829;MT;1.95;1.95
3002332470;MT;1.95;1.95
3002332645;MT;1.95;1.95
3002333957;MT;1.95;1.95
3002334898;MA;1.95;1.95
3002335085;MA;1.95;1.95
3002336380;MT;1.95;1.95
3002292591;MT;1.95;1.95
3002308900;MT;1.95;1.95
3002327710;MA;1.95;1.95
3002333874;MA;1.95;1.95
3002336208;MT;1.95;1.95
3002338733;MT;1.95;1.95
3002339210;MA;1.95;1.95
3002340473;MA;1.95;1.95
3002344517;MT;1.95;1.95
3002327579;MT;1.9;1.9
3002327892;MT;1.9;1.9
3002335390;MT;1.9;1.9
3002324469;MA;1.9;1.9
3002328247;MA;1.9;1.9
3002338634;MA;1.9;1.9
3002336406;MT;1.9;1.9
3002333346;MT;1.9;1.9
3002333429;MA;1.9;1.9
3002334039;MT;1.9;1.9
3002332082;MT;1.9;1.9
3002333064;MA;1.9;1.9
3002326134;MA;1.9;1.9
3002327959;MA;1.9;1.9
3002306995;MA;1.9;1.9
3002326951;MT;1.9;1.9
3002328007;MA;1.9;1.9
3002341711;MT;1.9;1.9
3002333312;MA;1.9;1.9
3002333403;MA;1.9;1.9
3002333205;MT;1.9;1.9
3002344731;MA;1.9;1.9
3002338717;MT;1.9;1.9
3002328072;MA;1.9;1.9
3002327884;MA;1.9;1.9
3002327603;MA;1.9;1.9
3002327942;MT;1.9;1.9
3002328080;MA;1.9;1.9
3002338626;MA;1.9;1.9
3002338949;MT;1.9;1.9
3002341877;MA;1.9;1.9
3002327991;MA;1.9;1.9
3002327918;MA;1.9;1.9
3002327975;MT;1.9;1.9
3002328205;MA;1.9;1.9
3002328577;MA;1.9;1.9
3002332066;MT;1.9;1.9
3002333056;MA;1.9;1.9
3002327728;MT;1.9;1.9
3002328064;MA;1.9;1.9
3002328544;MT;1.9;1.9
3002328197;MA;1.9;1.9
3002336901;MA;1.9;1.9
3002338683;MT;1.9;1.9
3002338923;MA;1.9;1.9
3002328312;MA;1.9;1.9
3002327900;MA;1.9;1.9
3002328742;MT;1.9;1.9
3002328056;MA;1.9;1.9
3002341810;MA;1.9;1.9
3002338600;MA;1.9;1.9
3002338642;MT;1.9;1.9
3002338808;MT;1.9;1.9
3002328163;MA;1.9;1.9
3002333395;MA;1.9;1.9
3002333981;MT;1.9;1.9
3002327967;MA;1.9;1.9
3002333536;MT;1.9;1.9
3002332116;MT;1.9;1.9
3002331993;MT;1.9;1.9
3002335994;MA;1.9;1.9
3002333098;MT;1.9;1.9
3002334393;MT;1.9;1.9
3002336463;MT;1.9;1.9
3002336836;MT;1.9;1.9
3002336018;MA;1.9;1.9
3002337040;MA;1.9;1.9
3002338493;MT;1.9;1.9
3002333080;MA;1.9;1.9
3002321069;MT;1.95;1.95
3002336521;MT;1.95;1.95
3002336869;MT;1.95;1.95
3002337727;MT;1.95;1.95
3002344871;MT;1.95;1.95
3002345456;MT;1.95;1.95
